algo,noise,num_samples,strategy,count
RC,0,50,"(1, 0, 0, 0, 0)",97
RC,0,50,"(0, 0, 0, 0, 1)",97
RC,0,50,"(1, 0, 0, 0, 1)",97
RC,0,50,"(0, 0, 0, 1, 0)",97
RC,0,50,"(1, 0, 0, 1, 0)",97
RC,0,50,"(0, 0, 0, 1, 1)",97
RC,0,50,"(1, 0, 1, 0, 1)",97
RC,0,50,"(1, 0, 1, 1, 0)",97
RC,0,50,"(0, 0, 1, 1, 1)",97
RC,0,50,"(1, 0, 1, 1, 1)",97
RC,0,50,"(0, 0, 0, 0, 0)",31
RC,0,50,"(1, 0, 0, 1, 1)",31
RC,0,50,"(1, 0, 1, 0, 0)",31
RC,0,50,"(0, 0, 1, 0, 1)",31
RC,0,50,"(0, 0, 1, 1, 0)",31
RC,0,50,"(0, 1, 0, 0, 0)",31
RC,0,50,"(1, 1, 1, 0, 0)",31
RC,0,50,"(0, 1, 1, 0, 1)",31
RC,0,50,"(0, 1, 1, 1, 0)",31
RC,0,50,"(1, 1, 0, 0, 0)",17
RC,0,50,"(0, 1, 0, 0, 1)",17
RC,0,50,"(0, 1, 0, 1, 0)",17
RC,0,50,"(0, 1, 1, 0, 0)",17
RC,0,50,"(1, 1, 1, 0, 1)",17
RC,0,50,"(1, 1, 1, 1, 0)",17
RC,0,50,"(0, 1, 1, 1, 1)",17
RC,0,50,"(0, 0, 1, 0, 0)",12
RC,0,50,"(1, 1, 0, 0, 1)",12
RC,0,50,"(1, 1, 0, 1, 0)",12
RC,0,50,"(0, 1, 0, 1, 1)",12
RC,0,50,"(1, 1, 0, 1, 1)",6
RC,0,50,"(1, 1, 1, 1, 1)",12
RC,0,100,"(1, 0, 0, 0, 0)",98
RC,0,100,"(0, 0, 0, 0, 1)",98
RC,0,100,"(1, 0, 0, 0, 1)",98
RC,0,100,"(0, 0, 0, 1, 0)",98
RC,0,100,"(1, 0, 0, 1, 0)",98
RC,0,100,"(0, 0, 0, 1, 1)",98
RC,0,100,"(1, 0, 1, 0, 1)",98
RC,0,100,"(1, 0, 1, 1, 0)",98
RC,0,100,"(0, 0, 1, 1, 1)",98
RC,0,100,"(1, 0, 1, 1, 1)",98
RC,0,100,"(0, 0, 0, 0, 0)",33
RC,0,100,"(1, 0, 0, 1, 1)",33
RC,0,100,"(1, 0, 1, 0, 0)",33
RC,0,100,"(0, 0, 1, 0, 1)",33
RC,0,100,"(0, 0, 1, 1, 0)",33
RC,0,100,"(0, 1, 0, 0, 0)",33
RC,0,100,"(1, 1, 0, 0, 0)",21
RC,0,100,"(0, 1, 0, 0, 1)",21
RC,0,100,"(0, 1, 0, 1, 0)",21
RC,0,100,"(0, 1, 1, 0, 0)",21
RC,0,100,"(1, 1, 1, 0, 0)",33
RC,0,100,"(0, 1, 1, 0, 1)",33
RC,0,100,"(1, 1, 1, 0, 1)",21
RC,0,100,"(0, 1, 1, 1, 0)",33
RC,0,100,"(1, 1, 1, 1, 0)",21
RC,0,100,"(0, 1, 1, 1, 1)",21
RC,0,100,"(0, 0, 1, 0, 0)",12
RC,0,100,"(1, 1, 0, 0, 1)",12
RC,0,100,"(1, 1, 0, 1, 0)",12
RC,0,100,"(0, 1, 0, 1, 1)",12
RC,0,100,"(1, 1, 1, 1, 1)",12
RC,0,100,"(1, 1, 0, 1, 1)",6
RC,0,150,"(1, 0, 0, 0, 0)",95
RC,0,150,"(0, 0, 0, 0, 1)",95
RC,0,150,"(1, 0, 0, 0, 1)",95
RC,0,150,"(0, 0, 0, 1, 0)",95
RC,0,150,"(1, 0, 0, 1, 0)",95
RC,0,150,"(0, 0, 0, 1, 1)",95
RC,0,150,"(1, 0, 1, 0, 1)",95
RC,0,150,"(1, 0, 1, 1, 0)",95
RC,0,150,"(0, 0, 1, 1, 1)",95
RC,0,150,"(1, 0, 1, 1, 1)",95
